post_id,post_title,post_date,post_excerpt,lat_lng,location_id,location_name,location_notes,street_address,city,state,zip,county,total_cost,start_year,completion_year,new_deal_agencies,new_deal_categories,artists,contractors,designers,status,menu_order,image
35766,Skagway School (demolished) &#8211; Skagway AK,2014,"The city of Skagway&#039;s website describes its now-destroyed Depression-era school: &quot;[The] Womenï¿_Ûªs Club raises $25,000 from Territory and $24,500 from federal Works Progress Administration to...","59.460180, -135.30998",,,,,Skagway,AK,99840,,,,1938,Works Progress Administration (WPA),"Educational, No Longer Extant, Schools",,,,,,http://livingnewdeal.org/wp-content/uploads/2014/01/Skagway-AK-Old-School-300x152.jpg
45434,Post Office and Courthouse (former) &#8211; Nome AK,2014,"Nome, Alaska&#039;s old post office and courthouse was constructed with federal Treasury Department funds and opened in 1938. The building, which still stands, is located along Front Street adjacent...","64.497581, -165.405233",,,,Front St.,Nome,AK,,,,,1938,Treasury Department (TD),"Courthouses, Post Offices, Public buildings",,,Louis A Simon - Supervising Architect,,,http://livingnewdeal.org/wp-content/uploads/2014/08/Nome-AK-PO-CH-300x225.jpg
34712,Falkville Water Tower (former) &#8211; Falkville AL,2013,"&quot;The Falkville water tower has been a landmark since it was built (1935-1936). As a part of a major waterworks project, it brought fresh drinking water to the citizens of Falkville. The project...","34.368645, -86.907746",,,,East Pike Road,Falkville,AL,35622,Morgan,,1935,1936,Public Works Administration (PWA),"Utilities and Infrastructure, Water supply",,,,,,
42126,Old First Quarters Small Wild Area &#8211; Muscle Shoals AL,2014,"Located near the Wilson Reservoir, &quot;Old First Quarters Small Wild Area, comprising 25 acres, was set aside to preserve natural and cultural features, including a rich array of spring...","34.774332, -87.655715",,,Coordinates may not be exact.,Reservation Road,Muscle Shoals,AL,35633,Colbert,,1935,1935,Civilian Conservation Corps (CCC),"Parks and recreation, Picnic and Other Facilities",,,,,,http://livingnewdeal.org/wp-content/uploads/2014/06/AL-TVA-MuscleShoals-002m-300x168.jpg
34713,Town Hall (former) &#8211; Falkville AL,2013,"&quot;According to a bronze plaque located on the east side of the building, the original town hall was built from 1936-1937 by the Works Progress Administration (WPA). The two-story brick structure...","34.3679175, -86.90742360000002",,,,7 N 1st Ave,Falkville,AL,35622,Morgan,,1936,1937,Works Progress Administration (WPA),"City Halls, Public buildings",,,,Marked,,http://livingnewdeal.org/wp-content/uploads/2013/12/Falkville-AL-Old-TH-274x225.jpg
37473,Cahaba Village &#8211; Trussville AL,2014,"Originally known as Slagheap, &quot;&lt;b&gt;Cahaba Homestead Village&lt;/b&gt; (usually &lt;b&gt;Cahaba Village&lt;/b&gt;, listed as the &lt;b&gt;Cahaba Homestead Village Historic...","33.63125552519838, -86.60832778576662",,,"Cahaba Village is roughly bounded by Rockridge Avenue to the west, the Cahaba River to the east, Gadsden Highway to the south, and Poplar Street to the north. North Chalkville Road serves as the main thoroughfare through the heart of the development.",Cahaba Village,Trussville,AL,35173,,,1936,1938,Resettlement Administration (RA),Resettlement Communities,,,,,,http://livingnewdeal.org/wp-content/uploads/2014/02/Slagheap-Village-Under-Construction-300x220.jpg
21223,Hunt Hall (Former Post Office) Mural &#8220;Harvest at Fort Payne&#8221; Mural &#8211; Fort Payne AL,2014,"This oil-on-canvas mural was painted by Harwood Steiger in 1938. The mural was originally in the post office, then moved to the DeKalb County Courthouse in 1980 after a new post office was built. In...","34.48343, -85.686661",6265,Hunt Hall - Fort Payne AL,Main reception room,514 Gault Ave,Fort Payne,AL,35967,,,1938,1938,Treasury Section of Fine Arts,"Art, Mural",Harwood Steiger,,,,1,http://livingnewdeal.org/wp-content/uploads/2013/07/2940-HarvestAtFortPayne.0_display-225x225.jpg
21279,Atmore Post Office &#8220;The Letter Box&#8221; Mural &#8211; Atmore AL,2014,"This Section of Fine Arts mural entitled ï¿_ï¿_ï¿_The Letter Boxï¿_Ûù was painted in 1938 by Anne Goldthwaite. Goldthwaite, a Montgomery artist, used the suggested Section theme of postal history for both of her...","31.024425, -87.493783",6302,Atmore Post Office - Atmore AL,lobby,114 N. Main Street,Atmore,AL,36502,,,1938,1938,Treasury Section of Fine Arts,"Art, Mural",Anne Goldthwaite,,,,1,http://livingnewdeal.org/wp-content/uploads/2013/07/3045-TheLetterBox.0_display-224x225.jpg
32238,John Archibald Campbell Courthouse &#8211; Mobile AL,2013,"Built as the U.S. Court House and Custom House from 1932 to 1934, this building was Renamed the John Archibald Campbell United States Courthouse in 1981. A 1939-1940 New Deal construction project...","30.69409, -88.04295",,,,113 Saint Joseph St.,Mobile,AL,36602,,,1939,1940,Treasury Department (TD),"Courthouses, Public buildings",,,,,,http://livingnewdeal.org/wp-content/uploads/2013/10/ALMobile1935-300x200.jpg
21276,Post Office Mural &#8220;Harvesting&#8221; &#8211; Monroeville AL,2014,This Section of Fine Arts oil-on-canvas mural depicts a farmer using a three-mule team to pull a threshing machine across a wheat field. Painted for the Monroeville post office by Arthur Leroy...,"31.527302, -87.323901",6299,Monroeville Post Office - Monroeville AL,lobby,104 N. Alabama Avenue,Monroeville,AL,36461,,,1939,1939,Treasury Section of Fine Arts,"Art, Mural",Arthur LeRoy Bairnsfeather,,,,1,http://livingnewdeal.org/wp-content/uploads/2013/07/3042-Harvesting.0_display-228x225.jpg
33561,Fairfield City Hall &#8211; Fairfield AL,2013,"Characterized by its Art Deco architectural style, Fairfield City Hall still serves as the seat of city government.ï¿_ï¿_ It was remodeled in the early 1990s, and the only interior touches of its Art Deco...","33.4913323, -86.91545300000001",,,,4701 Gary Ave.,Fairfield,AL,35064,Jefferson,,1941,1945,Works Progress Administration (WPA),"City Halls, Public buildings",,,E.B. Van Keuren,,,http://livingnewdeal.org/wp-content/uploads/2013/11/Alabama_Fairfield_Fairfield-City-Hall_1-300x225.jpg
21282,Public Library / Old Post Office Mural &#8220;Saturday in Enterprise&#8221; &#8211; Enterprise AL,2014,This Section of Fine Arts tempera-on-canvas mural ï¿_ï¿_ï¿_Saturday in Enterpriseï¿_Ûù was painted by Virginia-born artist Paul Arlt for the Enterprise post office in 1941. Arlt received the commission on the...,"31.31364, -85.853397",6305,Enterprise Public Library - Enterprise AL,"Entry, parking-lot side",101 E. Grubbs Street,Enterprise,AL,36330,,,1941,1941,Treasury Section of Fine Arts,"Art, Mural",Paul Arlt,,,,1,http://livingnewdeal.org/wp-content/uploads/2013/07/3063-SaturdayInEnterprise.0_display-224x225.jpg
4298,Montgomery Alabama City Hall and Auditorium &#8211; Montgomery AL,2011,"&amp;quot;The population of Montgomery, the capital city of Alabama, was 66,079 in 1930. Its city hall was destroyed by fire in 1932 and shortly thereafter a grant from the P.W.A. made possible the...","32.378674, -86.307544",2345,Montgomery Alabama City Hall and Auditorium - Montgomery AL,&lt;br /&gt;,103 North Perry Street,Montgomery,AL,36104,,687493,,,Public Works Administration (PWA),"Offices and administrative, Public buildings",,,,,,http://livingnewdeal.org/wp-content/uploads/2011/12/20_city_hall_montgomery_al-300x207.jpg
4299,University of Alabama &#8211; Southern Experimental Station &#8211; Bureau of Mines &#8211; Tuscaloosa AL,2011,"Bureau of Mines is building 116 on the campus map.  &amp;quot;Of the 11 experimental stations of the Bureau of Mines, 9 are located at State universities where they have the advantage of educational...","33.209920, -87.541621",2346,University of Alabama - Tuscaloosa AL,&lt;br /&gt;,University of Alabama,Tuscaloosa,AL,35487,,200000,,,Public Works Administration (PWA),"Educational, Schools",,,,,,http://livingnewdeal.org/wp-content/uploads/2011/12/299_experimental_station_u_alabama_tuscaloosa-202x225.jpg
4300,University of Alabama &#8211; Hardaway Hall &#8211; Tuscaloosa AL,2011,"Hardaway Hall is located on the University of Alabama campus on 7th Ave. It is the engineering building.  &amp;quot;The new structure is T-shaped in plan, the front portion being 2 stories in height...","33.209920, -87.541621",2346,University of Alabama - Tuscaloosa AL,&lt;br /&gt;,University of Alabama,Tuscaloosa,AL,35487,,174205,,,Public Works Administration (PWA),"Educational, Schools",,,,,,http://livingnewdeal.org/wp-content/uploads/2011/12/300_engineering_building_u_alabama_tuscaloosa-294x225.jpg
6977,City Hall Murals &#8211; Mobile AL,2012,"&quot;The WPA commissioned John Augustus Walker -- a native of Mobile, Alabama -- to create a series of oil on canvas murals in the city&#039;s Old City Hall/Southern Market complex. They memorialize...","30.690123, -88.03956590000001",,,,111 South Royal St.,Mobile,AL,36602,,,,,Works Progress Administration (WPA),"Art, Mural",John Augustus Walker,,,,,
7195,Bunker Tower &#8211; Cheaha State Park &#8211; Delta AL,2012,"&lt;strong&gt;&quot;&lt;/strong&gt;Bunker Tower is an observation tower on the peak of Cheaha Mountain in Cheaha State Park located in Cleburne County, Alabama, U.S.A. The tower is located at the...","33.485556, -85.809167",,,,Bunker Tower,Delta,AL,19644,,,,,Civilian Conservation Corps (CCC),"Lookout Towers, Parks and recreation",,,,,,http://livingnewdeal.org/wp-content/uploads/2012/07/Bunker-Tower-300x225.jpg
7198,Chewacla State Park Cabins &#8211; Auburn AL,2012,"&lt;strong&gt;&quot;&lt;/strong&gt;Chewacla State Park is a 696-acre (2.82ï¿_ï¿_km&lt;sup&gt;2&lt;/sup&gt;) state park in Auburn, Alabama. It is located just south of Interstate 85 in Lee County,...","32.55141916853718, -85.47504468354492",,,,124 Shell Toomer Parkway,Auburn,AL,36830,,,,,Civilian Conservation Corps (CCC),Parks and recreation,,,,,,
7199,DeSoto State Park &#8211; Fort Payne AL,2012,"&lt;strong&gt;&quot;&lt;/strong&gt;DeSoto State Park is located in northeast Alabama, near Fort Payne. Named after Hernando de Soto, it was developed in the 1930s by the Civilian Conservation Corps...","34.4403997, -85.5920787",,,,DeSoto State Park,Cherokee,AL,,,,,,Civilian Conservation Corps (CCC),Parks and recreation,,,,,,
7201,Geneva State Forest &#8211; Geneva AL,2012,"&quot;Geneva State Forest was formerly part of a vast land holding of timberlands owned by the Jackson Lumber Company. The lumber company, as was a common practice of the time, clear cut the land....","31.139366, -86.175442",,,,Geneva State Forest,Geneva,AL,,,,,,Civilian Conservation Corps (CCC),Parks and recreation,,,,,,
7204,Little River State Forest &#8211; Escambia AL,2012,"&lt;strong&gt;&quot;&lt;/strong&gt;Little River State Forest is an Alabama state forest in the counties of Escambia and Monroe. The forest is approximately 2,100 acres (850ï¿_ï¿_ha) and sits at an...","31.2555026, -87.4950586",,,,Little River State Forest,Escambia,AL,,,,,,Civilian Conservation Corps (CCC),Parks and recreation,,,,,,
7206,Monte Sano State Park Cottages &#8211; Huntsville AL,2012,"&lt;strong&gt;&quot;&lt;/strong&gt;Monte Sano State Park is a 2,140-acre (866ï¿_ï¿_ha) mountaintop retreat located in Huntsville, Alabama. It has 1930s Civilian Conservation Corps rustic cottages, built...","34.73951402148876, -86.51236731481936",,,,Monte Sano State Park,Huntsville,AL,,,,,,Civilian Conservation Corps (CCC),Parks and recreation,,,,,,
8480,Post Office Reliefs (former) &#8211; Alexander City AL,2012,"Three terra cotta reliefs funded by the Treasury Department&#039;s Section of Fine Arts. &quot;Cotton,&quot; &quot;Tobacco,&quot; and &quot;Wheat&quot; were created by Franc Epping in 1941 and...","32.9441516, -85.9535869",,,,4 Court Sq.,Alexander City,AL,35010,,,,,Treasury Section of Fine Arts,"Art, Sculptures and Reliefs",Franc Epping,,,,,http://livingnewdeal.org/wp-content/uploads/2012/10/Wheat-Relief-300x225.jpg
8485,Post Office &#8211; Atmore AL,2012,Built in 1935 with Treasury funding.,"31.03666299999999, -87.493359",4046,Post Office - Atmore AL,,114 North Main St.,Atmore,AL,36502,,,,,,"Post Offices, Public buildings",,,,,,
8488,Post Office Mural &#8211; Bay Minette AL,2012,Medium: oil on canvas  Section of Fine Art &quot;mural entitled &quot;Removal of the County Seat from Daphne to Bay Minette&quot; by Hilton Leech in 1939. It was restored and moved to the current...,"30.8826831, -87.78709279999998",,,Lobby,601 McMeans Avenue,Bay Minette,AL,36507,,,,,Treasury Section of Fine Arts,"Art, Mural",Hilton Leech,,,,,http://livingnewdeal.org/wp-content/uploads/2012/10/Removal-of-the-County-Seat-from-Daphne-to-Bay-Minette-300x225.jpg
8493,Post Office Mural &#8211; Fairfield AL,2012,Section of Fine Arts mural entitled &quot;Spirit of Steel&quot; painted in 1938 by Frank...,"33.491962, -86.91340000000002",,,,420 45th St.,Fairfield,AL,35064,,,,,Treasury Section of Fine Arts,"Art, Mural",Frank Anderson,,,,,http://livingnewdeal.org/wp-content/uploads/2012/10/Spirit-of-Steel-300x225.jpg
8515,Post Office Mural &#8211; Hartselle AL,2012,"Section of Fine Arts mural &quot;Cotton Scene,&quot; painted by the Hartselle post office by Lee R. Warthen in 1941.  &quot;Warthen, of Washington, D.C., produced the Hartselle panel as the result of...","34.4431494, -86.93313289999998",,,,110 Railroad Street Southwest,Hartselle,AL,35640,,,,,Treasury Section of Fine Arts,"Art, Mural",Lee Warthen,,,,,
8517,Federal Courthouse &#8220;Tennessee Valley Authority&#8221; Mural &#8211; Huntsville AL,2012,"Section of Fine Arts mural &quot;Tennessee Valley Authority&quot; painted for the Huntsville post office and courthouse by Xavier Gonzalez, 1937.  &quot;The Huntsville mural was the largest and most...","34.732475, -86.58704",8189,Post Office and Courthouse - Huntsville AL,,101 E. Holmes Ave.,Huntsville,AL,35801,,,,,Treasury Section of Fine Arts,"Art, Mural",Xavier Gonzalez,,,,,
8520,Post Office Mural &#8211; Luverne AL,2012,Section of Fine Arts mural &quot;Cotton Field&quot; painted for the Luverne post office by Arthur Getz in 1942.  &quot;Getz received the commission for Luverne on the basis of designs he had...,"31.7168787, -86.25053330000003",,,,29 East 3rd Street,Luverne,AL,36049,,,,,Treasury Section of Fine Arts,"Art, Mural",Arthur Getz,,,,,http://livingnewdeal.org/wp-content/uploads/2012/10/Cotton-Field-300x197.jpg
8524,Post Office &#8211; Monroeville AL,2012,Post Office built with Treasury funding in 1937. ...,"31.5265596, -87.32373899999999",4063,Post Office - Monroeville AL,,Alabama Ave. and E Claiborne St.,Monroeville,AL,36460,,,,,,"Post Offices, Public buildings",,,,,,http://livingnewdeal.org/wp-content/uploads/2012/10/Monroeville-Alabama-Post-Office-300x225.jpg
8526,Post Office &#8211; Montevallo AL,2012,Built in 1936 and listed on the National Register of Historic Places.,"33.1011601, -86.86234730000001",4066,Post Office - Montevallo AL,,720 Vine St.,Montevallo,AL,35115,,,,,,"Post Offices, Public buildings",,,,,,http://livingnewdeal.org/wp-content/uploads/2012/10/Montevallo-Alabama-Post-Office-300x225.jpg
8530,Post Office Mural &#8211; Montevallo AL,2012,"Section of Fine Arts mural entitled &quot;Early Settlers Weighing Cotton&quot; painted in 1938 by William S. McCall  &quot;McCall, at the time from Jacksonville, Florida, received the invitation to...","33.1011601, -86.86234730000001",4066,Post Office - Montevallo AL,,720 Vine St.,Montevallo,AL,35115,,,,,Treasury Section of Fine Arts,"Art, Mural",William Sherrod McCall,,,,,http://livingnewdeal.org/wp-content/uploads/2012/10/Early-Settlers-Weighing-Cotton-300x225.jpg
8532,Old Post Office Mural &#8211; Oneonta AL,2012,"Section of Fine Arts mural entitled &quot;Local Agriculture--A.A.A 1939&quot; painted by Aldis Browne in 1939. It still hangs in the old post office, now used by the Board of Education. ...","33.9699367, -86.44671410000001",,,,210 2nd Avenue East,Oneonta,AL,35121,,,,,Treasury Section of Fine Arts,"Art, Mural",Aldis B. Browne,,,,,http://livingnewdeal.org/wp-content/uploads/2012/10/Local-Agriculture-A.A.A-1939-300x225.jpg
8535,Old Post Office Mural &#8211; Ozark AL,2012,"Section of Fine Arts mural entitled &quot;Early Industry of Dale County&quot; painted in 1938 by Kelly J. Fitzpatrick. Still hangs in the old post office building, now used as the County Board of...","31.4581568790209, -85.64111474337767",,,,113 West Reynolds St.,Ozark,AL,36360,,,,,Treasury Section of Fine Arts,"Art, Mural",J. Kelly Fitzpatrick,,,,,http://livingnewdeal.org/wp-content/uploads/2012/10/Early-Industry-of-Dale-County-300x225.jpg
8537,Old Post Office Mural &#8211; Phenix City AL,2012,"Section of Fine Arts mural entitled &quot;Cotton,&quot; painted for the Phenix City post office by Kelly Fitzpatrick in 1939. The mural still hangs in the old post office.  &quot;The Phenix City...","32.473057, -84.999592",,,,500 14th St.,Phenix City,AL,36867,,,,,Treasury Section of Fine Arts,"Art, Mural",J. Kelly Fitzpatrick,,,,,http://livingnewdeal.org/wp-content/uploads/2012/10/Cotton-300x159.jpg
8540,Post Office Mural &#8211; Russellville AL,2012,"Section of Fine Arts fresco entitled &quot;Shipment of the First Iron Produced in Russellville&quot; was painted for the Russellville, Alabama post office in 1938 by Conrad A. Albrizzio.  &quot;The...","34.5076222, -87.72898079999999",,,,301 North Jackson Ave.,Russellville,AL,35653,,,,,Treasury Section of Fine Arts,"Art, Mural",Conrad A. Albrizzio,,,,,http://livingnewdeal.org/wp-content/uploads/2012/10/Shipment-of-the-First-Iron-Produced-in-Russellville-300x225.jpg
8542,Post Office Reliefs &#8211; Scottsboro AL,2012,Section of Fine Arts three section plaster relief entitled &quot;Alabama Agriculture&quot; installed in 1940 by Constance Ortmayer in the Scottsboro post office.  &quot;Ortmayer was teaching at...,"34.6735554, -86.03319239999996",4076,Post Office - Scottsboro AL,,101 South Market St.,Scottsboro,AL,35768,,,,,Treasury Section of Fine Arts,"Art, Sculptures and Reliefs",Constance Ortmayer,,,,,http://livingnewdeal.org/wp-content/uploads/2012/10/Alabama-Agriculture-300x225.jpg
8545,Post Office &#8211; Scottsboro AL,2012,Post office built with Treasury funding in 1938. ...,"34.6735554, -86.03319239999996",4076,Post Office - Scottsboro AL,,101 South Market St.,Scottsboro,AL,35768,,,,,,"Post Offices, Public buildings",,,,,,http://livingnewdeal.org/wp-content/uploads/2012/10/Scottsboro-Alabama-Post-Office-300x225.jpg
8547,Old Post Office &#8211; Tuscumbia AL,2012,Built in 1936 with Treasury funding. It is currently vacant and in the process of being turned into the Tuscumbia City Hall.,"34.731362, -87.70294810000001",4079,Old Post Office - Tuscumbia AL,,116 East 6th St.,Tuscumbia,AL,35674,,,,,,"Post Offices, Public buildings",,,,,,
8549,Old Post Office Mural &#8211; Tuscumbia AL,2012,Section of Fine Arts mural entitled &quot;Chief Tuscumbia Greets the Dickson Family&quot; painted in 1939 by Jack McMillan. The mural still hangs in the old PO which is currently vacant. ...,"34.731362, -87.70294810000001",4079,Old Post Office - Tuscumbia AL,Lobby,116 East 6th St.,Tuscumbia,AL,35674,,,,,Treasury Section of Fine Arts,"Art, Mural",Jack McMillan,,,,,http://livingnewdeal.org/wp-content/uploads/2012/10/Chief-Tuscumbia-Greets-the-Dickson-Family-300x225.jpg
8551,Post Office Mural &#8211; Tuskegee AL,2012,Section of Fine Arts mural entitled &quot;The Road to Tuskegee&quot; painted in 1937 by Anne Goldthwaite. It was restored and moved to the new Tuskegee post office in 1996.  &quot;In addition to...,"32.4236008, -85.6920374",,,,401 North Elm St.,Tuskegee,AL,36083,,,,,Treasury Section of Fine Arts,"Art, Mural",Anne Goldthwaite,,,,,http://livingnewdeal.org/wp-content/uploads/2012/10/The-Road-to-Tuskegee-300x225.jpg
9864,Smithfield Court Housing Development &#8211; Birmingham AL,2012,"&quot;Smithfield Court is a low-rental housing developmenterected in the city of Birmingham, Alabama, fully financed with P.W.A. funds. A site of 22 acres on which were located some of the...","33.4918121, -86.82625100000001",2347,Smithfield Court Housing Development - Birmington AL,&lt;br /&gt;,152 8th Ave.,Birmingham,AL,35294,,2415000,,,,,,,,,,http://livingnewdeal.org/wp-content/uploads/2011/12/664_smithfield_court_birmingham_al-223x225.jpg
10103,Cahaba Homestead Village &#8211; Trussville AL,2012,"&lt;strong&gt;&quot;&lt;/strong&gt;Cahaba Homestead Village (usually Cahaba Village, listed as the Cahaba Homestead Village Historic District). is a planned residential development located on the...","33.628517, -86.605217",,,,,Trussville,AL,35173,,,,,Resettlement Administration (RA),Resettlement Communities,,,,,,
15652,Eutaw Post Office &#8211; Eutaw AL,2013,This New Deal post office was built in 1939.,"32.841722, -87.88785",6154,Eutaw Post Office - Eutaw AL,,227 Prairie Avenue,Eutaw,AL,,,,,,Treasury Department (TD),"Post Offices, Public buildings",,,,,,
15971,Tuskegee Post Office &#8211; Tuskegee AL,2013,The New Deal post office in Tuskegee was built in 1935.,"32.420376, -85.689709",6454,Tuskegee Post Office - Tuskegee AL,,401 Elm Street,Tuskegee,AL,,,,,,Treasury Department (TD),"Post Offices, Public buildings",,,,,,http://livingnewdeal.org/wp-content/uploads/2013/07/9413160900_de8311787c_o-300x199.jpg
32221,Federal Building and Courthouse Extension &#8211; Anniston AL,2013,This Beaux-Arts building was originally completed as the U.S. Court House and Post Office in 1906. James A. Wetmore supervised a New Deal extension of the building that was completed in 1934.  The...,"33.659561, -85.829557",,,,1129 Noble Street,Anniston,AL,36201,,,,1934,Treasury Department (TD),"Courthouses, Post Offices, Public buildings",,,,,,http://livingnewdeal.org/wp-content/uploads/2013/10/ALAnniston1935-300x200.jpg
32225,Federal Building and U.S. Courthouse Extension &#8211; Gadsden AL,2013,"Originally the Gadsden post office, this Beaux-Arts-style building was constructed in 1909. The post office was twice extended, first in 1915 and again, during the New Deal, in 1937. Louis A. Simon...","33.659561, -85.829557",,,,600 Broad Street,Gadsden,AL,35901,,,,1937,Treasury Department (TD),"Courthouses, Post Offices, Public buildings",,,,,,http://livingnewdeal.org/wp-content/uploads/2013/10/ALGadsden1937-300x200.jpg
32236,U.S. Post Office and Courthouse &#8211; Huntsville AL,2013,"This three-story example of Classical Revival architecture was designed by Edgar Love; Miller, Martin &amp;amp; Lewis. The building, which was constructed and completed in 1936 and which no longer...","34.732450, -86.587006",8189,Post Office and Courthouse - Huntsville AL,,101 Holmes Ave. NE,Huntsville,AL,35801,,,,1936,Treasury Department (TD),"Courthouses, Public buildings",,,,,,http://livingnewdeal.org/wp-content/uploads/2013/10/ALHuntsville1936-300x200.jpg
20955,Hartselle Area Chamber of Commerce &#8220;Cotton Scene&#8221; Mural &#8211; Hartselle AL,2013,This mural was removed from the old post office in the late 1970s. It is now on display at the Chamber of Commerce office inï¿_ï¿_Hartselle&#039;s historic train depot. ...,"34.443874, -86.933482",6068,Hartselle Area Chamber of Commerce - Hartselle AL,President&#039;s office,110 Railroad Street SW,Hartselle,AL,35640,,,,,Treasury Section of Fine Arts,"Art, Mural",Lee R. Warthen,,,,1,http://livingnewdeal.org/wp-content/uploads/2013/07/1060-CottonScene.0_display-225x225.jpg
